instnm,Institution (entity) name (HD2018),Institution name alias (HD2018),Address,City location of institution (HD2018),State abbreviation (HD2018),ZIP code (HD2018),Total price for in-state students living on campus 2018-19 (DRVIC2018),Total price for in-state students living off campus (not with family)  2018-19 (DRVIC2018),Total price for out-of-state students living off campus (not with family)  2018-19 (DRVIC2018),Total price for in-state students living off campus (with family)  2018-19 (DRVIC2018),Number of students receiving a Doctor's degree (DRVC2018),Number of students receiving a Master's degree (DRVC2018),Number of students receiving a Bachelor's degree (DRVC2018),Number of students receiving an Associate's degree (DRVC2018),Graduation rate,Percent of full-time first-time undergraduates awarded any financial aid (SFA1718),Average amount of aid awarded,Applicants total (ADM2018),Admissions total (ADM2018),Enrolled total (ADM2018)
Brandman University,Brandman University, ,16355 Laguna Canyon Road,Irvine,CA,92618,,30324,30324,18180,153,1196,1028,98,0,80,2346,96,76,58
Brenau University,Brenau University, ,500 Washington Street SE,Gainesville,GA,30501-3668,45518,45035,45035,34350,43,348,318,47,43,98,20516,2674,1521,280
Brescia University,Brescia University, ,717 Frederica St,Owensboro,KY,42301-3023,36450,38300,38300,27100,0,35,167,23,35,95,19592,3865,1490,227
Brevard College,Brevard College, ,One Brevard College Drive,Brevard,NC,28712,42440,38390,38390,31640,0,0,127,0,33,100,18542,2619,1207,311
Brewton-Parker College,Brewton-Parker College, ,201 David-Eliza Fountain Circle,Mount Vernon,GA,30445,31598,34694,34694,28055,0,0,48,8,22,99,12727,342,331,195
Bridgewater College,Bridgewater College,BC|Bridgewater,402 E College St,Bridgewater,VA,22812-1599,51310,48955,48955,39370,0,0,383,0,64,100,28221,6360,4203,590
Bridgewater State University,Bridgewater State University,BSU|Bridgewater State,131 Summer Street,Bridgewater,MA,2325,26811,27011,33151,14711,0,431,2021,0,60,93,6141,6806,6135,1518
Brigham Young University-Hawaii,Brigham Young University-Hawaii,BYUH |BYUHC |BYU Hawaii |BYU Hawaii Campus |Brigham Young University Hawaii |Brigham Young University Hawaii Campus |BYU-H |BYU-HC |BYU-Hawaii |BYU-Hawaii Campus |Brigham Young University Hawaii Campus |BYU - H |BYU - HC |BYU - Hawaii |BYU - Hawaii Campus |Brigham Young University - Hawaii |Brigham Young University - Hawaii Campus |BYUHawaii |BYUHawaii Campus,55-220 Kulanui Street,Laie,HI,96762-1294,19054,18468,18468,12468,0,0,562,188,63,84,5288,2970,1330,554
Brigham Young University-Idaho,Brigham Young University-Idaho,BYU-I,525 S Center,Rexburg,ID,83460-1690,12050,12050,12050,7598,0,0,5070,1586,57,64,4641,9998,9715,4451
Brigham Young University-Provo,Brigham Young University-Provo,BYU,Main Campus,Provo,UT,84602,18776,18776,18776,11148,224,1068,6615,0,86,69,5056,11205,7224,5739
Broome Delaware Tioga BOCES-Practical Nursing Program,Broome Delaware Tioga BOCES-Practical Nursing Program, ,435 Glenwood Rd,Binghamton,NY,13905,,,,,,,,0,67,100,4437,12,4,4
Brown College of Court Reporting,Brown College of Court Reporting,Brown College of Court Reporting and Medical Transcription,1100 Spring Street  Suite 101,Atlanta,GA,30309,,37386,37386,25935,,,,0,50,100,2696,4,4,3
Brown University,Brown University, ,One Prospect Street,Providence,RI,2912,73802,,,,328,715,1696,0,95,60,43812,35437,2718,1656
Bryan College of Health Sciences,Bryan College of Health Sciences, ,1535 S 52nd St,Lincoln,NE,68506,,31950,31950,25684,15,26,119,0,69,94,4446,210,84,63
Bryan College-Dayton,Bryan College-Dayton,William Jennings Bryan College,721 Bryan Drive,Dayton,TN,37321,38250,39167,39167,30750,0,53,201,7,50,99,20311,902,463,192
Bryant University,Bryant University, ,1150 Douglas Pike,Smithfield,RI,02917-1291,62320,58873,58873,48873,0,160,791,0,81,96,21155,7235,5475,867
Bryn Athyn College of the New Church,Bryn Athyn College of the New Church,Bryn Athyn College,801 Tomlinson Rd,Bryn Athyn,PA,19009-0711,36496,31610,31610,24610,0,4,47,4,56,96,12476,250,222,67
Bryn Mawr College,Bryn Mawr College, ,101 N Merion Avenue,Bryn Mawr,PA,19010,70860,,,,15,80,326,0,87,67,35889,3166,1079,391
Bucknell University,Bucknell University, ,One Dent Drive,Lewisburg,PA,17837,72750,72750,72750,59088,0,16,852,0,88,59,33820,10144,3352,974
Buena Vista University,Buena Vista University, ,610 W 4th St,Storm Lake,IA,50588,46808,47614,47614,39154,0,79,595,0,54,100,24772,2055,1174,201
Butler University,Butler University, ,4600 Sunset Ave,Indianapolis,IN,46208,59660,59660,59660,44970,136,224,766,4,82,97,18564,16418,11137,1326
Cabarrus College of Health Sciences,Cabarrus College of Health Sciences, ,401 Medical Park Drive,Concord,NC,28025-3959,,30114,30114,20194,0,13,32,121,69,73,7278,56,23,18
Cabrini University,Cabrini University, ,610 King of Prussia Rd,Radnor,PA,19087-3698,47320,44820,44820,37320,0,289,273,0,57,99,20274,3565,2563,444
Cairn University-Langhorne,Cairn University-Langhorne,Cairn,200 Manor Ave,Langhorne,PA,19047-2990,40611,40517,40517,30317,0,118,151,0,62,97,19422,539,410,186
Caldwell University,Caldwell University,formerly Caldwell College,120 Bloomfield Avenue,Caldwell,NJ,07006-6195,50640,54115,54115,40715,14,95,353,0,57,99,27426,4433,2954,494
California Baptist University,California Baptist University,CBU,8432 Magnolia Ave,Riverside,CA,92504-3297,47694,53418,53418,39758,3,1003,1620,0,55,95,20485,6595,5246,1606
California College of the Arts,California College of the Arts, ,1111 Eighth Street,San Francisco,CA,94107-2247,67074,66064,66064,55038,0,184,331,0,60,93,23705,2292,2021,263
California Institute of Technology,California Institute of Technology,Caltech,1200 E California Blvd,Pasadena,CA,91125,72084,71712,71712,58050,191,161,228,0,92,64,42540,8208,543,231
California Institute of the Arts,California Institute of the Arts,CalArts,24700 W McBean Pky,Valencia,CA,91355-2397,71135,75066,75066,59066,2,195,187,0,56,92,16471,2333,536,216
California Jazz Conservatory,California Jazz Conservatory, ,2087 Addison Street,Berkeley,CA,94704-1268,,38963,38963,25382,0,0,3,0,,50,5285,2,2,2
California Lutheran University,California Lutheran University, ,60 W Olsen Rd,Thousand Oaks,CA,91360-2787,61599,62736,62736,49074,20,460,738,0,76,97,27016,5752,4111,681
California Miramar University,California Miramar University, ,3550 Camino Del Rio North  Suite 208,San Diego,CA,92108,,26001,26001,14881,0,46,11,1,,100,6348,41,9,5
California Polytechnic State University-San Luis Obispo,California Polytechnic State University-San Luis Obispo,Cal Poly,1 Grand Ave.,San Luis Obispo,CA,93407,28302,28302,40182,14532,0,630,4808,0,82,64,5836,54663,16491,4398
California State Polytechnic University-Pomona,California State Polytechnic University-Pomona, ,3801 West Temple Avenue,Pomona,CA,91768,28891,24940,36820,11935,18,466,5792,0,71,79,8128,36662,20220,3863
California State University Maritime Academy,California State University Maritime Academy,California State University Maritime Academy,200 Maritime Academy Dr,Vallejo,CA,94590-8181,27350,29213,41093,15282,0,18,218,0,62,73,8042,1117,743,216
California State University-Bakersfield,California State University-Bakersfield,CSU Bakersfield,9001 Stockdale Hwy,Bakersfield,CA,93311-1099,26009,25865,37745,12377,0,360,1801,0,42,93,10549,11455,2637,1494
California State University-Channel Islands,California State University-Channel Islands,CSU Channel Islands,One University Dr,Camarillo,CA,93012,25517,25373,37253,11885,0,97,1824,0,55,81,9396,11330,8876,970
California State University-Chico,California State University-Chico, ,First and Normal Sts,Chico,CA,95929-0150,24624,24464,36344,12074,0,325,4130,0,66,76,9216,23964,15639,2725
California State University-Dominguez Hills,California State University-Dominguez Hills,CSUDH,1000 E Victoria St,Carson,CA,90747-0005,23722,26362,38242,11862,0,805,3236,0,45,94,9952,20235,12939,2047
California State University-East Bay,California State University-East Bay,Cal State East Bay,25800 Carlos Bee Blvd,Hayward,CA,94542,25143,25299,37179,11313,23,1267,3961,0,48,83,9244,16131,11549,1459
California State University-Fresno,California State University-Fresno, ,5241 N Maple Ave,Fresno,CA,93740,21418,25017,36897,11093,74,854,4720,0,54,90,10233,18476,10630,3574
California State University-Fullerton,California State University-Fullerton,Cal State Fullerton,800 N State College Blvd,Fullerton,CA,92831-3599,27738,27062,38942,11912,57,1879,9038,0,68,82,8922,51415,22317,4408
California State University-Long Beach,California State University-Long Beach,Cal State Long Beach,1250 Bellflower Blvd,Long Beach,CA,90840-0115,24738,25914,37794,11866,59,1838,8615,0,69,82,8876,69610,21725,4912
California State University-Los Angeles,California State University-Los Angeles,Cal State LA,5151 State University Dr,Los Angeles,CA,90032-8506,26139,26203,38083,11743,12,1183,5246,0,48,94,10252,39854,16548,3862
California State University-Monterey Bay,California State University-Monterey Bay,CSUMB,100 Campus Center,Seaside,CA,93955-8001,23564,25339,37219,12087,0,213,1916,0,60,85,8983,12423,7270,1000
California State University-Northridge,California State University-Northridge, ,18111 Nordhoff St,Northridge,CA,91330,22969,27069,38949,11961,42,1690,8806,0,54,87,10222,34856,17647,4804
California State University-Sacramento,California State University-Sacramento,Sacramento State,6000 J St,Sacramento,CA,95819-2694,26454,25740,37620,11816,38,793,6948,0,51,87,9672,27108,17312,3757
California State University-San Bernardino,California State University-San Bernardino,Cal State San Bernardino,5500 University Parkway,San Bernardino,CA,92407-2397,23878,25330,37210,11428,11,756,4136,0,57,93,9697,16045,8798,2682
California State University-San Marcos,California State University-San Marcos, ,333 S Twin Oaks Valley Rd,San Marcos,CA,92096-0001,25325,27593,39473,12761,0,431,3147,0,55,82,9154,17649,10311,2474
California State University-Stanislaus,California State University-Stanislaus,CSU Stanislaus,One University Circle,Turlock,CA,95382-0299,21886,23692,35572,11302,14,345,2177,0,58,92,9468,7674,6586,1570
California University of Pennsylvania,California University of Pennsylvania, ,250 University Ave,California,PA,15419-1394,26644,27252,31870,18358,0,959,1329,888,53,97,6225,2957,2868,1014
Calvary University,Calvary University, ,15800 Calvary Road,Kansas City,MO,64147-1341,18712,32843,32843,17231,0,18,31,2,29,89,11559,82,55,48
Calvin College,Calvin College, ,3201 Burton Street SE,Grand Rapids,MI,49546,48900,48900,48900,39300,0,59,810,15,77,100,20502,3847,3038,825
Campbell University,Campbell University, ,143 Main Street,Buies Creek,NC,27506,49640,49640,49640,37400,433,248,926,69,53,100,24695,6240,4761,830
Campbellsville University,Campbellsville University, ,1 University Dr,Campbellsville,KY,42718-2799,39586,40136,40136,32936,0,488,344,30,40,96,20380,3542,2952,661
Canisius College,Canisius College,Canisius,2001 Main Street,Buffalo,NY,14208-1098,42288,38988,38988,30988,0,492,561,0,68,99,27310,3549,2793,485
Canton City Schools Adult Career and Technical Education,Canton City Schools Adult Career and Technical Education, ,2800 13th Street S.W.,Canton,OH,44710,,,,,,,,0,64,95,8764,22,13,13
Capital University,Capital University, ,1 College and Main,Columbus,OH,43209-2394,50334,53722,53722,42302,101,112,647,0,58,100,24855,3958,2890,589
Capitol Technology University,Capitol Technology University, ,11301 Springfield Rd,Laurel,MD,20708,39632,42524,42524,30360,26,71,60,1,48,98,14408,373,257,84
Cardinal Stritch University,Cardinal Stritch University,Stritch,6801 N Yates Rd,Milwaukee,WI,53217-3985,44130,42547,42547,36030,33,330,360,14,51,100,22031,943,669,156
Carleton College,Carleton College, ,One North College Street,Northfield,MN,55057-4001,71325,,,,0,0,487,0,93,80,36499,7092,1407,529
Carlos Albizu University-Miami,Carlos Albizu University-Miami,Albizu-Miami,2173 N.W. 99th Avenue,Miami,FL,33172-2209,,51036,51036,25500,64,101,55,0,100,67,11373,18,9,6
Carlos Albizu University-San Juan,Carlos Albizu University-San Juan,Albizu-San Juan,151 Tanca St  Corner San Francisco St  Old San Juan,San Juan,PR,00902-3711,,28425,28425,15354,48,240,23,0,,87,6150,184,116,97
Carlow University,Carlow University, ,3333 Fifth Ave,Pittsburgh,PA,15213-3165,44378,44376,44376,32936,15,295,305,0,53,100,20864,898,778,247
Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon; CMU,5000 Forbes Avenue,Pittsburgh,PA,15213-3890,72283,71473,71473,57865,322,3316,1435,0,89,59,39213,24351,4170,1572
Carolinas College of Health Sciences,Carolinas College of Health Sciences, ,1200 Blythe Blvd,Charlotte,NC,28203-2861,,47959,47959,22624,0,0,0,134,0,100,3165,76,20,9
Carrington College-Albuquerque,Carrington College-Albuquerque,Carrington College-Albuquerque,1001 Menaul Blvd. N.E.,Albuquerque,NM,87107-1642,,,,,,,,38,72,69,5370,41,37,25
Carrington College-Boise,Carrington College-Boise,Apollo College |Apollo College-Boise |Carrington College-Boise,1122 N. Liberty St.,Boise,ID,83704-8742,,,,,,,,127,74,34,4911,46,44,31
Carrington College-Las Vegas,Carrington College-Las Vegas,Carrington College-Las Vegas,5740 S. Eastern Ave.  Ste. 140,Las Vegas,NV,89119,,,,,,,,62,62,50,5063,48,43,31
Carrington College-Phoenix North,Carrington College-Phoenix North,Apollo College-Phoenix |Carrington College-Phoenix,8503 N. 27th Ave.,Phoenix,AZ,85051-4063,,,,,,,,27,76,45,4278,143,128,93
Carrington College-Pleasant Hill,Carrington College-Pleasant Hill,Western Career College-Pleasant Hill,380 Civic Dr.  Ste. 300,Pleasant Hill,CA,94523,,,,,,,,99,66,52,5872,64,52,32
Carrington College-Portland,Carrington College-Portland,Apollo College-Portland |Carrington College-Portland,2004 Lloyd Center  3rd Fl.,Portland,OR,97232-1309,,,,,,,,0,68,42,4630,61,51,35
Carrington College-Reno,Carrington College-Reno,Carrington College-Reno,5580 Kietzke Ln.,Reno,NV,89511,,,,,,,,101,81,56,6689,67,64,46
Carrington College-Sacramento,Carrington College-Sacramento,Western Career College-Sacramento,8909 Folsom Blvd.,Sacramento,CA,95826,,,,,,,,416,43,46,4923,115,102,79
Carrington College-San Jose,Carrington College-San Jose,Western Career College-San Jose,5883 Rue Ferrari  Ste. 125,San Jose,CA,95138,,,,,,,,121,72,51,5837,91,85,60
Carrington College-San Leandro,Carrington College-San Leandro,Western Career College-San Leandro,15555 East 14th St.  Ste. 500,San Leandro,CA,94578-1977,,,,,,,,26,71,48,4561,74,68,45
Carrington College-Spokane,Carrington College-Spokane,Carrington College-Spokane,10102 E. Knox Ave.  Ste. 200,Spokane,WA,99206-4187,,,,,,,,33,79,52,4344,87,76,57
Carrington College-Tucson,Carrington College-Tucson,Carrington College-Tucson,201 N. Bonita Ave.  Ste. 101,Tucson,AZ,85745,,,,,,,,0,84,42,4551,87,76,57
Carroll College,Carroll College,Carroll Montana |CC,1601 N Benton Ave,Helena,MT,59625-0002,49696,49696,49696,39936,0,0,285,1,69,100,21919,2709,2122,254
Carroll University,Carroll University, ,100 N East Ave,Waukesha,WI,53186,45360,44750,44750,36780,76,142,675,0,62,100,19559,3769,2587,719
Carson-Newman University,Carson-Newman University, ,1646 S Russell Ave,Jefferson City,TN,37760,41320,40116,40116,32608,52,314,356,19,51,100,19477,3736,2467,483
Carthage College,Carthage College,Carthage,2001 Alford Park Dr,Kenosha,WI,53140-1994,59240,59240,59240,47250,0,54,531,0,64,100,28384,8109,5500,763
Casa Loma College-Van Nuys,Casa Loma College-Van Nuys, ,6725 Kester Ave,Van Nuys,CA,91405,,,,,,,,99,23,79,6440,23,21,19
Casal Institute of Nevada,Casal Institute of Nevada,Aveda Institute Las Vegas,4856 S Eastern Ave,Las Vegas,NV,89119,,,,,,,,0,68,71,4158,169,169,31
Case Western Reserve University,Case Western Reserve University,Case|CWRU|Case Western Reserve,10900 Euclid Ave,Cleveland,OH,44106,67332,67332,67332,54762,658,1598,1143,0,85,86,33016,26642,7794,1393
Cass Career Center,Cass Career Center,Cass RIX School District,1600 E Elm,Harrisonville,MO,64701-2024,,,,,,,,0,100,100,6455,6,6,6
Castleton University,Castleton University, ,62 Alumni Dr,Castleton,VT,5735,25316,25954,41962,18794,0,46,365,7,55,96,8214,2189,1871,424
Catawba College,Catawba College, ,2300 W Innes St,Salisbury,NC,28144,45842,44402,44402,35354,0,8,312,0,46,100,24538,3061,1580,335
Catholic University of America,Catholic University of America, ,620 Michigan Avenue  NE,Washington,DC,20064,64560,64560,64560,49910,207,599,722,1,76,98,25534,6096,5101,834
Cayuga Onondaga BOCES-Practical Nursing Program,Cayuga Onondaga BOCES-Practical Nursing Program, ,Center for Learning 12 Allen Street,Auburn,NY,13021,,24544,24544,13678,,,,0,100,100,6154,69,40,8
Cazenovia College,Cazenovia College, ,22 Sullivan St,Cazenovia,NY,13035,51526,51526,51526,36930,0,0,213,3,60,100,31551,1518,1247,244
Cedar Crest College,Cedar Crest College, ,100 College Drive,Allentown,PA,18104-6196,53610,53260,53260,43216,0,50,312,0,46,99,27426,1343,768,207
Cedarville University,Cedarville University, ,251 N. Main Street,Cedarville,OH,45314-0601,40648,38688,38688,33288,34,65,700,0,72,100,15553,3741,2969,911
Centenary College of Louisiana,Centenary College of Louisiana, ,2911 Centenary Boulevard,Shreveport,LA,71134-1188,54300,51250,51250,41800,0,32,95,0,60,100,27086,893,533,169
Centenary University,Centenary University, ,400 Jefferson St,Hackettstown,NJ,7840,49232,49186,49186,38436,0,162,339,36,55,100,24473,1546,1033,234
Center for Natural Wellness School of Massage Therapy,Center for Natural Wellness School of Massage Therapy, ,3 Cerone Commercial Dr,Albany,NY,12205,,,,,,,,0,68,94,5103,10,8,3
Central Baptist College,Central Baptist College,CBC,1501 College Avenue,Conway,AR,72034,27304,25198,25198,20122,0,0,126,12,34,100,8750,433,263,128
Central Coast College,Central Coast College, ,480 S Main Street,Salinas,CA,93901-3301,,,,,,,,11,48,95,5001,162,155,114
Central College,Central College, ,812 University,Pella,IA,50219,52098,52098,52098,41818,0,0,312,0,72,100,27794,2772,1940,278
Central Connecticut State University,Central Connecticut State University,CCSU,1615 Stanley St,New Britain,CT,6050,25869,25869,38377,14131,6,568,1861,0,51,87,6682,7903,5314,1464
Central Methodist University-College of Graduate and Extended Studies,Central Methodist University-College of Graduate and Extended Studies,CMU - CGES,411 Central Methodist Square,Fayette,MO,65248-1198,,19080,19080,12280,0,101,635,6,,67,2465,38,8,4
Central Methodist University-College of Liberal Arts and Sciences,Central Methodist University-College of Liberal Arts and Sciences,CMU - CLAS,411 Central Methodist Square,Fayette,MO,65248-1198,38840,35700,35700,30900,0,0,222,10,40,100,17255,1280,1195,324
Central Michigan University,Central Michigan University, ,106 Warriner Hall,Mount Pleasant,MI,48859,24889,23720,34880,14813,229,1643,3772,0,62,95,9474,17858,12293,2732
